frame,x,y,w,h,eye_point1,eye_point2
0,0,0,0,0,"(0, 0)","(0, 0)"
5,956,321,169,233,"(1000, 416)","(1106, 421)"
10,953,326,171,227,"(997, 416)","(1104, 423)"
15,945,321,176,231,"(992, 417)","(1101, 421)"
20,935,319,182,237,"(982, 416)","(1094, 421)"
25,929,315,186,249,"(978, 414)","(1092, 419)"
30,920,309,196,266,"(972, 415)","(1097, 418)"
35,915,305,213,293,"(967, 423)","(1099, 425)"
40,888,323,231,314,"(938, 455)","(1087, 449)"
45,869,292,249,346,"(901, 426)","(1082, 430)"
50,834,166,269,269,"(896, 229)","(1033, 245)"
55,0,0,0,0,"(0, 0)","(0, 0)"
60,780,127,322,425,"(839, 281)","(1053, 281)"
65,770,195,302,381,"(830, 363)","(1027, 367)"
70,784,317,258,354,"(833, 462)","(1005, 465)"
75,802,400,224,299,"(850, 527)","(991, 524)"
80,830,442,182,252,"(870, 549)","(984, 535)"
85,854,434,158,219,"(885, 542)","(972, 505)"
90,885,443,128,140,"(925, 478)","(986, 524)"
95,888,459,92,113,"(909, 492)","(966, 507)"
100,903,471,70,99,"(912, 509)","(955, 511)"
105,905,494,67,74,"(927, 521)","(948, 540)"
110,915,494,45,60,"(919, 516)","(941, 519)"
115,908,521,39,48,"(916, 537)","(931, 542)"
120,916,507,40,49,"(919, 530)","(944, 519)"
125,931,503,40,49,"(936, 526)","(957, 516)"
130,892,52,321,423,"(953, 256)","(1146, 196)"
135,790,181,298,411,"(846, 359)","(1039, 326)"
140,679,303,266,356,"(739, 454)","(908, 452)"
145,675,282,243,315,"(734, 408)","(886, 417)"
150,791,230,203,261,"(840, 330)","(975, 337)"
155,934,225,171,233,"(974, 318)","(1086, 324)"
160,1009,342,83,120,"(1024, 385)","(1079, 386)"
165,1044,345,67,89,"(1055, 379)","(1100, 378)"
170,1067,338,65,90,"(1076, 372)","(1119, 368)"
175,1050,326,64,86,"(1058, 359)","(1102, 363)"
180,1007,349,63,80,"(1020, 382)","(1060, 387)"
185,989,371,72,89,"(1020, 405)","(1051, 419)"
190,991,275,93,106,"(1009, 311)","(1064, 322)"
195,983,249,118,144,"(1009, 321)","(1074, 295)"
200,1018,220,144,177,"(1052, 310)","(1131, 275)"
205,1055,249,182,246,"(1089, 363)","(1202, 320)"
210,1045,331,235,328,"(1100, 471)","(1242, 430)"
215,1055,268,295,401,"(1146, 416)","(1321, 439)"
220,1014,97,352,457,"(1140, 247)","(1336, 300)"
225,937,530,26,33,"(947, 539)","(959, 541)"
230,936,514,28,37,"(947, 522)","(959, 526)"
235,934,492,30,40,"(947, 502)","(961, 508)"
240,936,466,33,42,"(951, 482)","(965, 487)"
245,928,444,39,50,"(944, 457)","(963, 463)"
250,915,434,41,50,"(928, 450)","(952, 456)"
255,896,422,43,49,"(912, 432)","(935, 438)"
260,828,419,66,75,"(851, 439)","(888, 448)"
265,974,245,125,149,"(989, 308)","(1060, 280)"
270,174,278,146,172,"(235, 332)","(305, 364)"
275,913,171,144,180,"(946, 250)","(1033, 228)"
280,929,204,132,186,"(956, 275)","(1043, 256)"
285,940,198,178,261,"(973, 297)","(1093, 277)"
290,964,224,231,306,"(1018, 334)","(1163, 303)"
295,1003,298,244,344,"(1062, 421)","(1227, 397)"
300,994,398,289,351,"(1096, 555)","(1252, 499)"
305,868,361,294,362,"(980, 519)","(1133, 475)"
310,716,292,292,375,"(810, 446)","(971, 397)"
315,1521,358,335,382,"(1624, 495)","(1811, 517)"
320,692,341,139,158,"(713, 414)","(796, 388)"
325,845,413,82,96,"(862, 465)","(899, 443)"
330,893,444,59,73,"(899, 480)","(930, 465)"
335,876,455,50,64,"(883, 481)","(913, 473)"
340,852,462,43,55,"(857, 478)","(886, 478)"
345,838,449,40,51,"(845, 461)","(872, 468)"
350,843,446,40,48,"(855, 457)","(877, 465)"
355,937,284,179,227,"(958, 365)","(1082, 368)"
360,807,230,217,277,"(855, 315)","(984, 338)"
365,956,222,215,257,"(988, 327)","(1125, 319)"
370,965,190,231,298,"(989, 311)","(1142, 283)"
375,863,245,270,340,"(894, 411)","(1062, 352)"
380,809,215,316,388,"(881, 326)","(1072, 383)"
385,752,372,397,451,"(905, 471)","(1087, 612)"
390,838,173,383,523,"(899, 323)","(1154, 358)"
395,965,187,372,515,"(1003, 359)","(1252, 336)"
400,902,507,39,48,"(909, 527)","(933, 524)"
405,954,515,34,43,"(960, 530)","(978, 530)"
410,957,498,33,37,"(968, 509)","(987, 513)"
415,955,493,36,41,"(967, 505)","(987, 507)"
420,952,488,36,43,"(963, 501)","(985, 503)"
425,774,644,55,69,"(778, 680)","(811, 669)"
430,942,495,45,51,"(953, 511)","(981, 514)"
435,938,481,49,58,"(949, 498)","(980, 503)"
440,932,454,56,67,"(946, 471)","(980, 477)"
445,928,438,59,69,"(944, 460)","(981, 466)"
450,923,430,67,82,"(938, 451)","(980, 461)"
455,913,417,75,93,"(933, 446)","(980, 456)"
460,902,412,87,108,"(927, 449)","(978, 459)"
465,894,423,96,121,"(920, 462)","(980, 473)"
470,890,427,104,125,"(918, 467)","(981, 476)"
475,882,357,116,152,"(915, 405)","(983, 414)"
480,869,377,128,148,"(903, 419)","(983, 430)"
485,858,389,141,187,"(894, 455)","(982, 466)"
490,843,384,156,201,"(881, 450)","(982, 461)"
495,828,282,172,225,"(865, 373)","(975, 375)"
500,0,0,0,0,"(0, 0)","(0, 0)"
505,824,388,209,261,"(849, 495)","(988, 474)"
510,836,432,231,297,"(868, 558)","(1017, 530)"
515,824,250,224,294,"(840, 312)","(1014, 305)"
520,885,211,130,174,"(899, 258)","(985, 243)"
525,888,256,118,151,"(907, 312)","(983, 296)"
530,903,323,127,145,"(941, 349)","(1015, 382)"
535,902,401,126,161,"(941, 446)","(1011, 472)"
540,890,413,140,177,"(929, 478)","(1014, 496)"
545,885,410,157,202,"(926, 477)","(1024, 499)"
550,867,404,178,220,"(911, 479)","(1020, 500)"
555,822,381,204,254,"(866, 461)","(990, 491)"
560,787,352,220,291,"(834, 444)","(975, 479)"
565,791,377,246,324,"(839, 477)","(997, 502)"
570,794,391,255,344,"(842, 499)","(1007, 515)"
575,774,375,271,347,"(824, 497)","(1000, 510)"
580,772,335,274,367,"(829, 455)","(1010, 479)"
585,831,233,281,372,"(898, 366)","(1080, 390)"
590,879,277,280,372,"(942, 418)","(1127, 432)"
595,985,430,38,48,"(996, 445)","(1019, 446)"
600,977,427,42,49,"(991, 445)","(1015, 446)"
605,982,395,43,53,"(996, 411)","(1018, 411)"
610,977,323,58,77,"(992, 345)","(1027, 351)"
615,968,321,60,76,"(986, 341)","(1022, 349)"
620,966,332,61,77,"(982, 354)","(1020, 362)"
625,972,325,65,81,"(990, 350)","(1030, 357)"
630,971,325,71,87,"(991, 353)","(1034, 358)"
635,944,336,82,106,"(965, 373)","(1016, 378)"
640,897,317,101,127,"(917, 356)","(980, 363)"
645,861,344,120,156,"(883, 384)","(963, 393)"
650,831,362,149,199,"(855, 430)","(955, 432)"
655,871,378,187,262,"(897, 469)","(1022, 461)"
660,1028,304,228,290,"(1068, 383)","(1216, 415)"
665,926,291,295,348,"(1008, 358)","(1176, 460)"
670,714,243,342,404,"(816, 300)","(1014, 373)"
675,979,301,65,87,"(982, 337)","(1020, 337)"
680,946,266,67,85,"(952, 298)","(993, 302)"
685,1073,381,53,69,"(1082, 403)","(1119, 411)"
690,1031,269,81,90,"(1066, 304)","(1105, 314)"
695,1147,272,91,93,"(1188, 310)","(1232, 319)"
700,1019,299,57,87,"(1038, 325)","(1044, 340)"
705,1051,284,70,99,"(1066, 320)","(1081, 319)"
710,1114,275,112,91,"(1147, 298)","(1194, 313)"
715,1181,280,115,114,"(1209, 315)","(1272, 331)"
720,1547,237,171,183,"(1573, 306)","(1681, 302)"
725,1601,252,198,226,"(1627, 348)","(1748, 335)"
730,1691,275,227,267,"(1721, 393)","(1857, 374)"
735,827,368,194,249,"(872, 437)","(989, 471)"
740,908,253,221,293,"(944, 341)","(1099, 350)"
745,959,176,248,348,"(999, 300)","(1155, 285)"
750,880,223,264,352,"(920, 357)","(1091, 337)"
755,696,280,272,364,"(738, 425)","(911, 399)"
760,497,91,272,370,"(531, 232)","(715, 202)"
765,1032,428,46,56,"(1045, 448)","(1074, 452)"
